Date,Net Asset Value
2-Mar-20,26.62
3-Mar-20,26.97
4-Mar-20,26.74
5-Mar-20,26.82
6-Mar-20,26.39
9-Mar-20,25.33
11-Mar-20,25.33
12-Mar-20,23.54
13-Mar-20,24.31
16-Mar-20,22.8
17-Mar-20,22.32
18-Mar-20,21.16
19-Mar-20,20.73
20-Mar-20,21.86
23-Mar-20,19.22
24-Mar-20,19.71
25-Mar-20,20.82
26-Mar-20,21.57
27-Mar-20,21.52
30-Mar-20,20.79
31-Mar-20,21.49
1-Apr-20,20.79
3-Apr-20,20.38
7-Apr-20,21.93
8-Apr-20,22
9-Apr-20,22.85
13-Apr-20,22.59
15-Apr-20,22.46
16-Apr-20,22.62
17-Apr-20,23.16
20-Apr-20,23.18
21-Apr-20,22.63
22-Apr-20,23.02
23-Apr-20,23.24
24-Apr-20,22.91
27-Apr-20,23.21
28-Apr-20,23.36
29-Apr-20,23.7
30-Apr-20,24.26
4-May-20,23.13
5-May-20,22.86
6-May-20,23.02
7-May-20,22.83
8-May-20,22.99
11-May-20,23.04
12-May-20,22.98
13-May-20,23.33
14-May-20,22.91
15-May-20,22.85
18-May-20,22.15
19-May-20,22.28
20-May-20,22.71
21-May-20,22.82
22-May-20,22.7
26-May-20,22.62
27-May-20,23.04
28-May-20,23.45
29-May-20,23.66
1-Jun-20,24.17
2-Jun-20,24.47
3-Jun-20,24.69
4-Jun-20,24.64
5-Jun-20,24.86
8-Jun-20,24.81
9-Jun-20,24.59
10-Jun-20,24.67
11-Jun-20,24.26
12-Jun-20,24.45
15-Jun-20,24.13
16-Jun-20,24.34
17-Jun-20,24.26
18-Jun-20,24.58
19-Jun-20,24.86
22-Jun-20,25.01
23-Jun-20,25.38
24-Jun-20,25.06
25-Jun-20,25.1
26-Jun-20,25.24
29-Jun-20,25.11
30-Jun-20,25.16
1-Jul-20,25.33
2-Jul-20,25.57
3-Jul-20,25.7
6-Jul-20,26.01
7-Jul-20,26.12
8-Jul-20,25.88
9-Jul-20,26.07
10-Jul-20,25.99
13-Jul-20,26.05
14-Jul-20,25.71
15-Jul-20,25.72
16-Jul-20,26.04
17-Jul-20,26.36
20-Jul-20,26.66
21-Jul-20,26.82
22-Jul-20,26.71
23-Jul-20,26.87
24-Jul-20,26.74
27-Jul-20,26.58
28-Jul-20,26.89
29-Jul-20,26.75
30-Jul-20,26.67
31-Jul-20,26.69
3-Aug-20,26.41
4-Aug-20,26.85
5-Aug-20,26.86
6-Aug-20,27.1
7-Aug-20,27.16
10-Aug-20,27.36
11-Aug-20,27.37
12-Aug-20,27.35
13-Aug-20,27.4
14-Aug-20,27.13
17-Aug-20,27.25
18-Aug-20,27.58
19-Aug-20,27.61
20-Aug-20,27.44
21-Aug-20,27.57
24-Aug-20,27.77
25-Aug-20,27.8
